"nome_proposto","categoria","subcategoria","menu_onde_vai_aparecer","musculos_zona_articulacao","equipamento","local","motivo_da_necessidade","lacuna_que_resolve","prioridade","risco_de_duplicacao","tipo_de_inclusao","depende_de_aprovacao_humana","quando_pode_ser_adicionado"
"leg press - quadríceps/joelho - proposta 001","musculacao","leg press","Musculação > Ginásio > Máquinas","quadríceps/joelho","leg_press","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P0","baixo","essencial","sim","apos_aprovacao_humana"
"leg extension - isquiotibiais/joelho - proposta 002","musculacao","leg extension","Musculação > Ginásio > Cabos","isquiotibiais/joelho","leg_extension","casa","reduz lacuna de grupo muscular visível","grupo muscular","P0","baixo","essencial","sim","apos_aprovacao_humana"
"leg curl - glúteos/anca - proposta 003","musculacao","leg curl","Musculação > Ginásio > Halteres","glúteos/anca","leg_curl","parque","melhora escolha progressiva para iniciantes","menu de força","P0","baixo","essencial","sim","apos_aprovacao_humana"
"smith machine squat - dorsais/escápulas - proposta 004","musculacao","smith machine squat","Musculação > Casa > Peso corporal + equipamento","dorsais/escápulas","smith_machine","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P0","baixo","essencial","sim","apos_aprovacao_humana"
"lat pulldown - peitoral/ombro - proposta 005","musculacao","lat pulldown","Musculação > Funcional > Carga externa","peitoral/ombro","lat_pulldown","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P0","baixo","essencial","sim","apos_aprovacao_humana"
"cable row - deltoides/ombro - proposta 006","musculacao","cable row","Musculação > Ginásio > Máquinas","deltoides/ombro","cable_machine","casa","reduz lacuna de grupo muscular visível","grupo muscular","P0","baixo","essencial","sim","apos_aprovacao_humana"
"bench press variation - core/coluna - proposta 007","musculacao","bench press variation","Musculação > Ginásio > Cabos","core/coluna","bench","parque","melhora escolha progressiva para iniciantes","menu de força","P0","baixo","essencial","sim","apos_aprovacao_humana"
"dumbbell unilateral - antebraço/pegada - proposta 008","musculacao","dumbbell unilateral","Musculação > Ginásio > Halteres","antebraço/pegada","dumbbells","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P0","medio","essencial","sim","apos_aprovacao_humana"
"barbell hinge - quadríceps/joelho - proposta 009","musculacao","barbell hinge","Musculação > Casa > Peso corporal + equipamento","quadríceps/joelho","barbell","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P0","baixo","essencial","sim","apos_aprovacao_humana"
"pull up progression - isquiotibiais/joelho - proposta 010","musculacao","pull up progression","Musculação > Funcional > Carga externa","isquiotibiais/joelho","pull_up_bar","casa","reduz lacuna de grupo muscular visível","grupo muscular","P0","baixo","essencial","sim","apos_aprovacao_humana"
"ab wheel - glúteos/anca - proposta 011","musculacao","ab wheel","Musculação > Ginásio > Máquinas","glúteos/anca","ab_wheel","parque","melhora escolha progressiva para iniciantes","menu de força","P0","baixo","essencial","nao","v0.9.9B"
"trx row - dorsais/escápulas - proposta 012","musculacao","trx row","Musculação > Ginásio > Cabos","dorsais/escápulas","trx","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P0","baixo","essencial","nao","v0.9.9B"
"rings support - peitoral/ombro - proposta 013","musculacao","rings support","Musculação > Ginásio > Halteres","peitoral/ombro","rings","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P0","baixo","essencial","nao","v0.9.9B"
"medicine ball core - deltoides/ombro - proposta 014","musculacao","medicine ball core","Musculação > Casa > Peso corporal + equipamento","deltoides/ombro","medicine_ball","casa","reduz lacuna de grupo muscular visível","grupo muscular","P0","baixo","essencial","nao","v0.9.9B"
"sandbag carry - core/coluna - proposta 015","musculacao","sandbag carry","Musculação > Funcional > Carga externa","core/coluna","sandbag","parque","melhora escolha progressiva para iniciantes","menu de força","P0","baixo","essencial","nao","v0.9.9B"
"leg press - antebraço/pegada - proposta 016","musculacao","leg press","Musculação > Ginásio > Máquinas","antebraço/pegada","leg_press","box funcional","dá alternativa segura ao peso livre","progressão/regressão","P0","baixo","essencial","nao","v0.9.9B"
"leg extension - quadríceps/joelho - proposta 017","musculacao","leg extension","Musculação > Ginásio > Cabos","quadríceps/joelho","leg_extension","ginásio","cobre equipamento crítico ainda sub-representado","equipamento crítico","P0","baixo","essencial","nao","v0.9.9B"
"leg curl - isquiotibiais/joelho - proposta 018","musculacao","leg curl","Musculação > Ginásio > Halteres","isquiotibiais/joelho","leg_curl","casa","reduz lacuna de grupo muscular visível","grupo muscular","P0","baixo","essencial","nao","v0.9.9B"
