"nome","catalog_entry_key","canonical_id","categoria","subcategoria","musculos_grupos","equipamentos","locais","descricao_curta","descricao_longa","passos_execucao","respiracao","erros_comuns","seguranca_cuidados","regressao","progressao","quando_evitar","quando_adaptar","origem_conteudo","nivel_template","rotas_ok","rotas_com_fallback","rotas_vazias","estado_final_qualidade"
"Isometria cervical frontal leve","isometria_cervical_frontal_leve__pescoco","isometria_cervical_frontal_leve","musculacao","pescoco","Pescoço","Peso corporal","Casa ou ginasio conforme equipamento","Pressão isométrica leve da testa contra a mão para ativar flexores cervicais sem mover a cabeça. Serve para treinar controlo cervical.","Pressão isométrica leve da testa contra a mão para ativar flexores cervicais sem mover a cabeça. Serve para treinar controlo cervical.","1. Coloca-te numa posição estável, com espaço livre e Peso corporal preparado.
2. Coloca a palma da mão na testa e empurra a cabeça contra ela, sem deixar a cabeça mexer.
3. Organiza pés, tronco e cabeça antes de iniciar a repetição; mantém ombros afastados das orelhas e punhos alinhados quando as mãos participarem.
4. Executa a ação do exercício devagar até à amplitude em que controlas o músculo ou articulação trabalhados.
5. Pausa um instante no ponto de maior esforço sem prender a respiração.
6. Regressa devagar ao início, controlando o corpo até à posição de partida.
7. Reduz a dificuldade ou a amplitude se perderes alinhamento, equilíbrio ou controlo.","Respira de forma curta e contínua durante a sustentação; nunca prendas o ar.","Perder o alinhamento do corpo.
Encurtar a amplitude útil.
Prender a respiração.
Continuar depois de perder o controlo do movimento.","Usa força muito leve. Para imediatamente com tontura, formigueiro, dor irradiada, pressão na cabeça, visão turva ou dor aguda no pescoço.","Reduz a amplitude, o tempo ou o número de repetições e usa um apoio estável.","Desce mais devagar, faz uma pausa curta no ponto mais difícil ou acrescenta repetições controladas.","Evita ou adapta este exercício com tontura, dor irradiada, formigueiro ou diagnóstico cervical; usa apenas força muito leve.","Evita ou adapta este exercício com tontura, dor irradiada, formigueiro ou diagnóstico cervical; usa apenas força muito leve.","catalogo_canonico_gerado_por_regras","bom_gerado_por_regras","1","0","0","B_BOM_GERADO_POR_REGRAS"
"Isometria cervical lateral leve","isometria_cervical_lateral_leve__pescoco","isometria_cervical_lateral_leve","musculacao","pescoco","Pescoço","Peso corporal","Casa ou ginasio conforme equipamento","Inclinação ou pressão lateral leve da cabeça para trabalhar controlo cervical de lado. Ensina a organizar a posicao inicial, perceber a zona que deve trabalhar e ajustar amplitude,...","Inclinação ou pressão lateral leve da cabeça para trabalhar controlo cervical de lado. Ensina a organizar a posicao inicial, perceber a zona que deve trabalhar e ajustar amplitude, ritmo ou apoio para aprender sem dor.","1. Coloca-te numa posição estável, com espaço livre e Peso corporal preparado.
2. Coloca a palma da mão ao lado da cabeça e empurra contra ela, sem deixar a cabeça inclinar.
3. Organiza pés, tronco e cabeça antes de iniciar a repetição; mantém ombros afastados das orelhas e punhos alinhados quando as mãos participarem.
4. Executa a ação do exercício devagar até à amplitude em que controlas o músculo ou articulação trabalhados.
5. Pausa um instante no ponto de maior esforço sem prender a respiração.
6. Regressa devagar ao início, controlando o corpo até à posição de partida.
7. Reduz a dificuldade ou a amplitude se perderes alinhamento, equilíbrio ou controlo.","Respira de forma curta e contínua durante a sustentação; nunca prendas o ar.","Perder o alinhamento do corpo.
Encurtar a amplitude útil.
Prender a respiração.
Continuar depois de perder o controlo do movimento.","Usa força muito leve. Para imediatamente com tontura, formigueiro, dor irradiada, pressão na cabeça, visão turva ou dor aguda no pescoço.","Reduz a amplitude, o tempo ou o número de repetições e usa um apoio estável.","Desce mais devagar, faz uma pausa curta no ponto mais difícil ou acrescenta repetições controladas.","Evita ou adapta este exercício com tontura, dor irradiada, formigueiro ou diagnóstico cervical; usa apenas força muito leve.","Evita ou adapta este exercício com tontura, dor irradiada, formigueiro ou diagnóstico cervical; usa apenas força muito leve.","catalogo_canonico_gerado_por_regras","bom_gerado_por_regras","1","0","0","B_BOM_GERADO_POR_REGRAS"
"Chin tuck","chin_tuck__pescoco","chin_tuck","musculacao","pescoco","Pescoço","Peso corporal","Casa ou ginasio conforme equipamento","Recuar suavemente o queixo para alinhar cabeça e pescoço, como criar uma papada leve. Serve para treinar controlo cervical. Ensina a organizar a posicao inicial, perceber a zona qu...","Recuar suavemente o queixo para alinhar cabeça e pescoço, como criar uma papada leve. Serve para treinar controlo cervical. Ensina a organizar a posicao inicial, perceber a zona que deve trabalhar e ajustar amplitude, ritmo ou apoio para aprender sem dor.","1. Coloca-te numa posição estável, com espaço livre e Peso corporal preparado.
2. Recua o queixo devagar, como se quisesses criar um duplo queixo, sem inclinar a cabeça para baixo.
3. Organiza pés, tronco e cabeça antes de iniciar a repetição; mantém ombros afastados das orelhas e punhos alinhados quando as mãos participarem.
4. Executa a ação do exercício devagar até à amplitude em que controlas o músculo ou articulação trabalhados.
5. Pausa um instante no ponto de maior esforço sem prender a respiração.
6. Regressa devagar ao início, controlando o corpo até à posição de partida.
7. Reduz a dificuldade ou a amplitude se perderes alinhamento, equilíbrio ou controlo.","Inspira na fase de preparação ou de retorno e expira durante o esforço, sem prender a respiração.","Perder o alinhamento do corpo.
Encurtar a amplitude útil.
Prender a respiração.
Continuar depois de perder o controlo do movimento.","Usa força muito leve. Para imediatamente com tontura, formigueiro, dor irradiada, pressão na cabeça, visão turva ou dor aguda no pescoço.","Reduz a amplitude, o tempo ou o número de repetições e usa um apoio estável.","Desce mais devagar, faz uma pausa curta no ponto mais difícil ou acrescenta repetições controladas.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","catalogo_canonico_gerado_por_regras","bom_gerado_por_regras","1","0","0","B_BOM_GERADO_POR_REGRAS"
"Rotação cervical controlada","rotacao_cervical_controlada__pescoco","rotacao_cervical_controlada","musculacao","pescoco","Pescoço","Peso corporal","Casa ou ginasio conforme equipamento","Rotação lenta da cabeça para olhar para cada lado sem puxar o pescoço. Serve para treinar controlo cervical. Ensina a organizar a posicao inicial, perceber a zona que deve trabalha...","Rotação lenta da cabeça para olhar para cada lado sem puxar o pescoço. Serve para treinar controlo cervical. Ensina a organizar a posicao inicial, perceber a zona que deve trabalhar e ajustar amplitude, ritmo ou apoio para aprender sem dor.","1. Coloca-te numa posição estável, com espaço livre e Peso corporal preparado.
2. Roda a cabeça devagar para um lado, como se olhasses por cima do ombro, e volta ao centro antes de trocar.
3. Organiza pés, tronco e cabeça antes de iniciar a repetição; mantém ombros afastados das orelhas e punhos alinhados quando as mãos participarem.
4. Executa a ação do exercício devagar até à amplitude em que controlas o músculo ou articulação trabalhados.
5. Pausa um instante no ponto de maior esforço sem prender a respiração.
6. Regressa devagar ao início, controlando o corpo até à posição de partida.
7. Reduz a dificuldade ou a amplitude se perderes alinhamento, equilíbrio ou controlo.","Inspira na fase de preparação ou de retorno e expira durante o esforço, sem prender a respiração.","Perder o alinhamento do corpo.
Encurtar a amplitude útil.
Prender a respiração.
Continuar depois de perder o controlo do movimento.","Usa força muito leve. Para imediatamente com tontura, formigueiro, dor irradiada, pressão na cabeça, visão turva ou dor aguda no pescoço.","Reduz a amplitude, o tempo ou o número de repetições e usa um apoio estável.","Desce mais devagar, faz uma pausa curta no ponto mais difícil ou acrescenta repetições controladas.","Evita ou adapta este exercício com tontura, dor irradiada, formigueiro ou diagnóstico cervical; usa apenas força muito leve.","Evita ou adapta este exercício com tontura, dor irradiada, formigueiro ou diagnóstico cervical; usa apenas força muito leve.","catalogo_canonico_gerado_por_regras","bom_gerado_por_regras","1","0","0","B_BOM_GERADO_POR_REGRAS"
"Isometria cervical posterior leve","isometria_cervical_posterior_leve__pescoco","isometria_cervical_posterior_leve","musculacao","pescoco","Pescoço","Peso corporal","Casa ou ginasio conforme equipamento","Pressão leve da cabeça para trás contra as próprias mãos, sem movimento, para fortalecer a parte de trás do pescoço. Serve para treinar extensores do pescoço e controlo cervical.","Pressão leve da cabeça para trás contra as próprias mãos, sem movimento, para fortalecer a parte de trás do pescoço. Serve para treinar extensores do pescoço e controlo cervical.","1. Senta-te ou fica de pé com a coluna direita e o queixo ligeiramente recolhido.
2. Entrelaça as mãos e coloca-as atrás da cabeça.
3. Empurra a cabeça para trás contra as mãos com força muito leve, sem deixar a cabeça mover.
4. Mantém a pressão 5 a 10 segundos a respirar normalmente.
5. Solta devagar, descansa um momento e repete 3 a 5 vezes.
6. Usa apenas a força que consegues manter sem tremer nem prender o ar.","Respira de forma curta e contínua durante a sustentação; nunca prendas o ar.","Empurrar com força a mais logo nas primeiras séries.
Deixar a cabeça deslocar-se para trás em vez de ficar parada.
Encolher os ombros durante a pressão.
Prender a respiração.","Usa força muito leve. Para imediatamente com tontura, formigueiro, dor irradiada, pressão na cabeça, visão turva ou dor aguda no pescoço.","Usa apenas dois dedos de cada mão e sustenta a pressão por 3 a 5 segundos.","Aumenta a duração de cada pressão até 10 segundos antes de aumentares a força.","Evita ou adapta este exercício com tontura, dor irradiada, formigueiro ou diagnóstico cervical; usa apenas força muito leve.","Evita ou adapta este exercício com tontura, dor irradiada, formigueiro ou diagnóstico cervical; usa apenas força muito leve.","catalogo_canonico_gerado_por_regras","bom_gerado_por_regras","1","0","0","B_BOM_GERADO_POR_REGRAS"
"Encolhimento de ombros com halteres","encolhimento_de_ombros_com_halteres__trapezio","encolhimento_de_ombros_com_halteres","musculacao","trapezio","Trapézio","Halteres","Casa ou ginasio conforme equipamento","Elevação dos ombros com um halter em cada mão ao lado do corpo, focada no trapézio superior. Ensina a organizar a posicao inicial, perceber a zona que deve trabalhar e ajustar ampl...","Elevação dos ombros com um halter em cada mão ao lado do corpo, focada no trapézio superior. Ensina a organizar a posicao inicial, perceber a zona que deve trabalhar e ajustar amplitude, ritmo ou apoio para aprender sem dor.","1. Segura um halter em cada mão ao lado do corpo, com os braços estendidos.
2. Fica de pé com os pés à largura da anca, tronco direito e abdómen ligeiramente ativo.
3. Mantém os punhos direitos e os cotovelos quase esticados durante todo o movimento.
4. Sobe os ombros na direção das orelhas, o mais alto que conseguires sem dobrar os braços.
5. Faz uma pausa de um segundo no topo, apertando o trapézio.
6. Desce os ombros devagar até ao ponto inicial, deixando-os alongar.
7. Não rodes os ombros em círculo nem uses impulso das pernas; mantém o pescoço relaxado e o olhar em frente.","Inspira na fase de preparação ou de retorno e expira durante o esforço, sem prender a respiração.","Usar peso acima do que controlas.
Perder o alinhamento durante a repetição.
Encurtar a amplitude útil.
Prender a respiração.
Continuar quando o músculo alvo já não controla o movimento.","Protege ombros e punhos com um peso controlável e amplitude sem dor. Para com dor aguda no ombro, dormência no braço ou perda de controlo do peso.","Usa menos peso ou resistência, menor amplitude e um apoio estável, mantendo a trajetória descrita.","Sobe ligeiramente o peso, alonga a pausa ou desce mais devagar, alterando uma variável de cada vez.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","catalogo_canonico_gerado_por_regras","bom_gerado_por_regras","1","1","0","B_BOM_GERADO_POR_REGRAS"
"Encolhimento de ombros com barra","encolhimento_de_ombros_com_barra__trapezio","encolhimento_de_ombros_com_barra","musculacao","trapezio","Trapézio","Barra","Casa ou ginasio conforme equipamento","Elevação dos ombros com uma barra segura à frente das coxas, que permite mais peso no trapézio. Serve para o treinar com controlo.","Elevação dos ombros com uma barra segura à frente das coxas, que permite mais peso no trapézio. Serve para o treinar com controlo.","1. Segura uma barra à frente das coxas com pega simétrica, à largura dos ombros.
2. Fica de pé com os pés à largura da anca, tronco direito e abdómen ligeiramente ativo.
3. Mantém os punhos direitos e os cotovelos quase esticados durante todo o movimento.
4. Sobe os ombros na direção das orelhas, o mais alto que conseguires sem dobrar os braços.
5. Faz uma pausa de um segundo no topo, apertando o trapézio.
6. Desce os ombros devagar até ao ponto inicial, deixando-os alongar.
7. Não rodes os ombros em círculo nem uses impulso das pernas; mantém o pescoço relaxado e o olhar em frente.","Inspira na fase de preparação ou de retorno e expira durante o esforço, sem prender a respiração.","Usar peso acima do que controlas.
Perder o alinhamento durante a repetição.
Encurtar a amplitude útil.
Prender a respiração.
Continuar quando o músculo alvo já não controla o movimento.","Protege ombros e punhos com um peso controlável e amplitude sem dor. Para com dor aguda no ombro, dormência no braço ou perda de controlo do peso.","Usa menos peso ou resistência, menor amplitude e um apoio estável, mantendo a trajetória descrita.","Sobe ligeiramente o peso, alonga a pausa ou desce mais devagar, alterando uma variável de cada vez.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","catalogo_canonico_gerado_por_regras","bom_gerado_por_regras","1","1","0","B_BOM_GERADO_POR_REGRAS"
"Encolhimento de ombros na máquina","encolhimento_de_ombros_na_maquina__trapezio","encolhimento_de_ombros_na_maquina","musculacao","trapezio","Trapézio","Máquina","Casa ou ginasio conforme equipamento","Elevação dos ombros na máquina de encolhimentos, com trajetória guiada e apoio estável. Serve para o treinar com controlo. Ensina a organizar a posicao inicial, perceber a zona que...","Elevação dos ombros na máquina de encolhimentos, com trajetória guiada e apoio estável. Serve para o treinar com controlo. Ensina a organizar a posicao inicial, perceber a zona que deve trabalhar e ajustar amplitude, ritmo ou apoio para aprender sem dor.","1. Ajusta a máquina de encolhimentos e segura as pegas com os braços estendidos ao lado do corpo.
2. Fica de pé com os pés à largura da anca, tronco direito e abdómen ligeiramente ativo.
3. Mantém os punhos direitos e os cotovelos quase esticados durante todo o movimento.
4. Sobe os ombros na direção das orelhas, o mais alto que conseguires sem dobrar os braços.
5. Faz uma pausa de um segundo no topo, apertando o trapézio.
6. Desce os ombros devagar até ao ponto inicial, deixando-os alongar.
7. Não rodes os ombros em círculo nem uses impulso das pernas; mantém o pescoço relaxado e o olhar em frente.","Inspira na fase de preparação ou de retorno e expira durante o esforço, sem prender a respiração.","Usar peso acima do que controlas.
Perder o alinhamento durante a repetição.
Encurtar a amplitude útil.
Prender a respiração.
Continuar quando o músculo alvo já não controla o movimento.","Protege ombros e punhos com um peso controlável e amplitude sem dor. Para com dor aguda no ombro, dormência no braço ou perda de controlo do peso.","Usa menos peso ou resistência, menor amplitude e um apoio estável, mantendo a trajetória descrita.","Sobe ligeiramente o peso, alonga a pausa ou desce mais devagar, alterando uma variável de cada vez.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","catalogo_canonico_gerado_por_regras","bom_gerado_por_regras","1","1","0","B_BOM_GERADO_POR_REGRAS"
"Remo alto leve","remo_alto_leve__trapezio","remo_alto_leve","musculacao","trapezio","Trapézio","Halteres","Casa ou ginasio conforme equipamento","Puxada alta leve com cotovelos a subir até uma altura confortável para trabalhar trapézio e ombros sem forçar. Serve para treinar costas, escápulas e dorsal.","Puxada alta leve com cotovelos a subir até uma altura confortável para trabalhar trapézio e ombros sem forçar. Serve para treinar costas, escápulas e dorsal.","1. Segura os halteres ou a barra à frente das coxas, com pega à largura dos ombros e punhos direitos.
2. Fica de pé com o tronco direito e o abdómen ativo.
3. Puxa o peso para cima, junto ao corpo, levando os cotovelos para fora e para cima.
4. Sobe apenas até os cotovelos ficarem à altura dos ombros ou abaixo, nunca mais alto.
5. Mantém os ombros afastados das orelhas e as escápulas controladas; desce o peso devagar pelo mesmo caminho, junto ao tronco.
6. Usa carga leve: este movimento é para trapézio e ombros, não para força máxima.
7. Para se sentires beliscar ou dor na frente do ombro, ou se a lombar arquear.","Inspira na fase de preparação ou de retorno e expira durante o esforço, sem prender a respiração.","Puxar com balanço do tronco.
Encolher os ombros.
Arredondar a lombar.
Puxar atrás da nuca.
Largar a fase de retorno sem controlo.","Protege ombros e punhos com um peso controlável e amplitude sem dor. Para com dor aguda no ombro, dormência no braço ou perda de controlo do peso.","Usa menos peso ou resistência, menor amplitude e um apoio estável, mantendo a trajetória descrita.","Sobe ligeiramente o peso, alonga a pausa ou desce mais devagar, alterando uma variável de cada vez.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","catalogo_canonico_gerado_por_regras","bom_gerado_por_regras","1","1","0","B_BOM_GERADO_POR_REGRAS"
"Face pull no cabo","face_pull_no_cabo__trapezio","face_pull_no_cabo","musculacao","trapezio","Trapézio","Cabo alto / polia","Casa ou ginasio conforme equipamento","Puxada em direção ao rosto com cotovelos altos para treinar deltoide posterior, romboides e controlo das escápulas. Serve para treinar costas, escápulas e dorsal. Nesta lista, cont...","Puxada em direção ao rosto com cotovelos altos para treinar deltoide posterior, romboides e controlo das escápulas. Serve para treinar costas, escápulas e dorsal. Nesta lista, conta para o treino de trapézio.","1. Coloca a polia do cabo na posição alta, à altura do rosto.
2. Segura a corda com pega firme e as palmas viradas uma para a outra.
3. Dá um passo atrás até haver tensão e fica com tronco alto.
4. Puxa a corda em direção ao rosto, separando ligeiramente as mãos.
5. Leva os cotovelos para trás e para fora, juntando as escápulas sem encolher o pescoço.
6. Para quando as mãos ficam perto das orelhas ou bochechas.
7. Volta devagar até os braços estenderem sem perder tensão.","Inspira na fase de preparação ou de retorno e expira durante o esforço, sem prender a respiração.","Puxar com balanço do tronco.
Encolher os ombros.
Arredondar a lombar.
Puxar atrás da nuca.
Largar a fase de retorno sem controlo.","Usa um peso e uma amplitude que consigas controlar. Para se houver dor aguda, tontura, formigueiro, perda de equilíbrio ou perda de controlo.","Usa menos peso ou resistência, menor amplitude e um apoio estável, mantendo a trajetória descrita.","Sobe ligeiramente o peso, alonga a pausa ou desce mais devagar, alterando uma variável de cada vez.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","Evita ou adapta este exercício se houver dor aguda, instabilidade, perda de força ou limitação clínica que impeça a amplitude sem compensar.","catalogo_canonico_gerado_por_regras","bom_gerado_por_regras","1","1","0","B_BOM_GERADO_POR_REGRAS"
