"name","canonical_id","category","subcategory","context","equipment","primary_muscle","secondary_muscles","joint","objective","priority","duplicate_risk","quality"
"Supino inclinado com barra","supino_inclinado_com_barra","musculacao","peito","peito","Barra e banco inclinado","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","treinar empurrar inclinado com barra","B3","baixo","A/B"
"Supino declinado com barra","supino_declinado_com_barra","musculacao","peito","peito","Barra e banco declinado","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","treinar empurrar declinado com barra","B3","baixo","A/B"
"Supino inclinado com halteres","supino_inclinado_com_halteres","musculacao","peito","peito","Halteres e banco inclinado","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","treinar empurrar inclinado com halteres","B3","baixo","A/B"
"Press militar com barra","press_militar_com_barra","musculacao","ombros","ombros","Barra","deltoides","triceps; trapezio superior; core","ombro; cotovelo; escapula","treinar empurrar vertical com barra","B3","baixo","A/B"
"Press de ombro na maquina","press_de_ombro_na_maquina","musculacao","ombros","ombros","Maquina de ombro","deltoides","triceps; trapezio superior","ombro; cotovelo; escapula","treinar empurrar vertical guiado","B3","baixo","A/B"
"Press de ombro na maquina controlado","press_de_ombro_na_maquina_controlado","musculacao","ombros","ombros","Maquina de ombro","deltoides","triceps; trapezio superior","ombro; cotovelo; escapula","controlar empurrar vertical guiado","B3","baixo","A/B"
"Press de ombro na maquina com pausa","press_de_ombro_na_maquina_com_pausa","musculacao","ombros","ombros","Maquina de ombro","deltoides","triceps; trapezio superior","ombro; cotovelo; escapula","pausar o press guiado sem perder postura","B3","baixo","A/B"
"Press de ombro na maquina em tempo lento","press_de_ombro_na_maquina_em_tempo_lento","musculacao","ombros","ombros","Maquina de ombro","deltoides","triceps; trapezio superior","ombro; cotovelo; escapula","aumentar controlo no press guiado","B3","baixo","A/B"
"Curl martelo","curl_martelo","musculacao","biceps","biceps","Halteres","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho","treinar flexao do cotovelo com pegada neutra","B3","baixo","A/B"
"Curl no cabo baixo","curl_no_cabo_baixo","musculacao","biceps","biceps","Cabo baixo","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho; ombro","treinar biceps com tensao continua no cabo","B3","baixo","A/B"
"Curl no cabo baixo controlado","curl_no_cabo_baixo_controlado","musculacao","biceps","biceps","Cabo baixo","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho; ombro","controlar curl no cabo baixo sem balanco","B3","baixo","A/B"
"Curl no cabo baixo com pausa","curl_no_cabo_baixo_com_pausa","musculacao","biceps","biceps","Cabo baixo","biceps braquial","braquial; braquiorradial; antebraco","cotovelo; punho; ombro","pausar o curl no cabo baixo com cotovelos estaveis","B3","baixo","A/B"
