"axis","key","label","appears_in_ui","has_exercises","has_fallback","should_remain_visible","should_be_hidden","future_expansion","needs_content_v099","decision","reason"
"equipment","floor","Chão livre","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","wall","Parede estável","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","bench","Banco estável","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","water_bottles","Garrafas de água","true","false","false","false","false","true","true","FUTURE_EXPANSION_V099","Acessório ou eixo reservado para expansão v0.9.9."
"equipment","towel","Toalha","true","false","false","false","false","true","true","FUTURE_EXPANSION_V099","Acessório ou eixo reservado para expansão v0.9.9."
"equipment","none","Nenhum equipamento","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","other","Outro","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","medicine_ball","Medicine ball","true","false","false","false","false","true","true","FUTURE_EXPANSION_V099","Acessório ou eixo reservado para expansão v0.9.9."
"equipment","sandbag","Saco de areia","true","false","false","false","false","true","true","FUTURE_EXPANSION_V099","Acessório ou eixo reservado para expansão v0.9.9."
"equipment","weighted_vest","Colete com peso","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","ankle_weights","Tornozeleiras com peso","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","rings","Argolas","true","false","false","false","false","true","true","FUTURE_EXPANSION_V099","Acessório ou eixo reservado para expansão v0.9.9."
"equipment","trx","TRX / suspensão","true","false","false","false","false","true","true","FUTURE_EXPANSION_V099","Acessório ou eixo reservado para expansão v0.9.9."
"equipment","mini_bands","Mini bands","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","ab_wheel","Roda abdominal","true","false","false","false","false","true","true","FUTURE_EXPANSION_V099","Acessório ou eixo reservado para expansão v0.9.9."
"equipment","adjustable_cable","Polia ajustável","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","lat_pulldown","Lat pulldown","true","false","false","false","true","false","false","HIDE_UNTIL_CONTENT_EXISTS","Equipamento comum sem conteúdo específico; decisão de esconder em fase futura."
"equipment","seated_row_machine","Remo sentado","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","chest_press_machine","Chest press","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","shoulder_press_machine","Shoulder press machine","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","leg_press","Leg press","true","false","false","false","true","false","false","HIDE_UNTIL_CONTENT_EXISTS","Equipamento comum sem conteúdo específico; decisão de esconder em fase futura."
"equipment","leg_extension","Extensão de perna","true","false","false","false","true","false","false","HIDE_UNTIL_CONTENT_EXISTS","Equipamento comum sem conteúdo específico; decisão de esconder em fase futura."
"equipment","leg_curl","Curl de perna","true","false","false","false","true","false","false","HIDE_UNTIL_CONTENT_EXISTS","Equipamento comum sem conteúdo específico; decisão de esconder em fase futura."
"equipment","abductor_machine","Máquina abdutora","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
"equipment","adductor_machine","Máquina adutora","true","false","false","true","false","false","false","KEEP_WITH_NOTICE","Eixo válido, mantido apenas com aviso específico."
