"exercise_name","canonical_id","category","subcategory","equipment","filters","primary_muscle","quality","reachable","duplicate"
"Supino reto com barra","supino_reto_com_barra","musculacao","peito","barbell;flat_bench","upper;chest;chest_primary","peitoral maior","A_or_B_strict_passed","yes","no"
"Supino reto com barra controlado","supino_reto_com_barra_controlado","musculacao","peito","barbell;flat_bench","upper;chest;chest_primary","peitoral maior","A_or_B_strict_passed","yes","no"
"Supino reto com barra com pausa","supino_reto_com_barra_com_pausa","musculacao","peito","barbell;flat_bench","upper;chest;chest_primary","peitoral maior","A_or_B_strict_passed","yes","no"
"Supino reto com barra em tempo lento","supino_reto_com_barra_em_tempo_lento","musculacao","peito","barbell;flat_bench","upper;chest;chest_primary","peitoral maior","A_or_B_strict_passed","yes","no"
"Supino declinado com barra controlado","supino_declinado_com_barra_controlado","musculacao","peito","barbell;decline_bench","upper;chest;chest_primary","peitoral maior","A_or_B_strict_passed","yes","no"
"Supino inclinado com barra controlado","supino_inclinado_com_barra_controlado","musculacao","peito","barbell;incline_bench","upper;chest;chest_primary","peitoral maior","A_or_B_strict_passed","yes","no"
"Supino inclinado com barra com pausa","supino_inclinado_com_barra_com_pausa","musculacao","peito","barbell;incline_bench","upper;chest;chest_primary","peitoral maior","A_or_B_strict_passed","yes","no"
"Supino inclinado com barra em tempo lento","supino_inclinado_com_barra_em_tempo_lento","musculacao","peito","barbell;incline_bench","upper;chest;chest_primary","peitoral maior","A_or_B_strict_passed","yes","no"
"Puxada alta a frente","puxada_alta_a_frente","musculacao","costas","lat_pulldown","upper;back;back_width","grande dorsal","A_or_B_strict_passed","yes","no"
"Puxada alta a frente controlado","puxada_alta_a_frente_controlado","musculacao","costas","lat_pulldown","upper;back;back_width","grande dorsal","A_or_B_strict_passed","yes","no"
"Puxada alta a frente com pausa","puxada_alta_a_frente_com_pausa","musculacao","costas","lat_pulldown","upper;back;back_width","grande dorsal","A_or_B_strict_passed","yes","no"
"Puxada alta a frente em tempo lento","puxada_alta_a_frente_em_tempo_lento","musculacao","costas","lat_pulldown","upper;back;back_width","grande dorsal","A_or_B_strict_passed","yes","no"
"Puxada alta com pegada neutra","puxada_alta_com_pegada_neutra","musculacao","costas","lat_pulldown","upper;back;back_width","grande dorsal","A_or_B_strict_passed","yes","no"
"Puxada alta com pegada neutra controlado","puxada_alta_com_pegada_neutra_controlado","musculacao","costas","lat_pulldown","upper;back;back_width","grande dorsal","A_or_B_strict_passed","yes","no"
"Puxada alta com pegada neutra com pausa","puxada_alta_com_pegada_neutra_com_pausa","musculacao","costas","lat_pulldown","upper;back;back_width","grande dorsal","A_or_B_strict_passed","yes","no"
"Puxada alta com pegada neutra em tempo lento","puxada_alta_com_pegada_neutra_em_tempo_lento","musculacao","costas","lat_pulldown","upper;back;back_width","grande dorsal","A_or_B_strict_passed","yes","no"
"Remada sentada no cabo","remada_sentada_no_cabo","musculacao","costas","high_cable;low_cable","upper;back;back_thickness","costas medias e dorsais","A_or_B_strict_passed","yes","no"
"Remada sentada no cabo controlado","remada_sentada_no_cabo_controlado","musculacao","costas","high_cable;low_cable","upper;back;back_thickness","costas medias e dorsais","A_or_B_strict_passed","yes","no"
"Remada sentada no cabo com pausa","remada_sentada_no_cabo_com_pausa","musculacao","costas","high_cable;low_cable","upper;back;back_thickness","costas medias e dorsais","A_or_B_strict_passed","yes","no"
"Remada sentada no cabo em tempo lento","remada_sentada_no_cabo_em_tempo_lento","musculacao","costas","high_cable;low_cable","upper;back;back_thickness","costas medias e dorsais","A_or_B_strict_passed","yes","no"
"Remada baixa unilateral","remada_baixa_unilateral","musculacao","costas","high_cable;low_cable","upper;back;back_thickness","costas medias e dorsais","A_or_B_strict_passed","yes","no"
"Remada baixa unilateral controlado","remada_baixa_unilateral_controlado","musculacao","costas","high_cable;low_cable","upper;back;back_thickness","costas medias e dorsais","A_or_B_strict_passed","yes","no"
"Remada baixa unilateral com pausa","remada_baixa_unilateral_com_pausa","musculacao","costas","high_cable;low_cable","upper;back;back_thickness","costas medias e dorsais","A_or_B_strict_passed","yes","no"
"Remada baixa unilateral em tempo lento","remada_baixa_unilateral_em_tempo_lento","musculacao","costas","high_cable;low_cable","upper;back;back_thickness","costas medias e dorsais","A_or_B_strict_passed","yes","no"
"Press de ombro com halteres","press_de_ombro_com_halteres","musculacao","ombros","dumbbells","upper;shoulders;deltoids","deltoides","A_or_B_strict_passed","yes","no"
"Press de ombro com halteres controlado","press_de_ombro_com_halteres_controlado","musculacao","ombros","dumbbells","upper;shoulders;deltoids","deltoides","A_or_B_strict_passed","yes","no"
"Press de ombro com halteres com pausa","press_de_ombro_com_halteres_com_pausa","musculacao","ombros","dumbbells","upper;shoulders;deltoids","deltoides","A_or_B_strict_passed","yes","no"
"Press de ombro com halteres em tempo lento","press_de_ombro_com_halteres_em_tempo_lento","musculacao","ombros","dumbbells","upper;shoulders;deltoids","deltoides","A_or_B_strict_passed","yes","no"
"Press na Smith machine","press_na_smith_machine","musculacao","ombros","smith_machine","upper;shoulders;deltoids","deltoides","A_or_B_strict_passed","yes","no"
"Press na Smith machine controlado","press_na_smith_machine_controlado","musculacao","ombros","smith_machine","upper;shoulders;deltoids","deltoides","A_or_B_strict_passed","yes","no"
"Press na Smith machine com pausa","press_na_smith_machine_com_pausa","musculacao","ombros","smith_machine","upper;shoulders;deltoids","deltoides","A_or_B_strict_passed","yes","no"
"Press na Smith machine em tempo lento","press_na_smith_machine_em_tempo_lento","musculacao","ombros","smith_machine","upper;shoulders;deltoids","deltoides","A_or_B_strict_passed","yes","no"
