"exercise_name","canonical_id","category","subcategory","equipment","primary_muscle","secondary_muscles","joint","goal","priority","quality","implementation_decision"
"Supino declinado com barra com pausa","supino_declinado_com_barra_com_pausa","musculacao","peito","Barra e banco declinado","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","reforcar controlo no fundo do supino declinado","B2","A/B","ADDED_IN_V099B2"
"Supino declinado com barra em tempo lento","supino_declinado_com_barra_em_tempo_lento","musculacao","peito","Barra e banco declinado","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","aumentar tempo sob tensao no supino declinado","B2","A/B","ADDED_IN_V099B2"
"Supino reto com halteres","supino_reto_com_halteres","musculacao","peito","Halteres e banco plano","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","treinar empurrar horizontal com halteres","B2","A/B","ADDED_IN_V099B2"
"Supino reto com halteres controlado","supino_reto_com_halteres_controlado","musculacao","peito","Halteres e banco plano","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","controlar supino reto com halteres sem perder escapulas","B2","A/B","ADDED_IN_V099B2"
"Supino reto com halteres com pausa","supino_reto_com_halteres_com_pausa","musculacao","peito","Halteres e banco plano","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","pausar o supino reto com halteres no fundo seguro","B2","A/B","ADDED_IN_V099B2"
"Supino reto com halteres em tempo lento","supino_reto_com_halteres_em_tempo_lento","musculacao","peito","Halteres e banco plano","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","aumentar controlo no supino reto com halteres","B2","A/B","ADDED_IN_V099B2"
"Supino inclinado com halteres controlado","supino_inclinado_com_halteres_controlado","musculacao","peito","Halteres e banco inclinado","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","controlar o supino inclinado com halteres","B2","A/B","ADDED_IN_V099B2"
"Supino inclinado com halteres com pausa","supino_inclinado_com_halteres_com_pausa","musculacao","peito","Halteres e banco inclinado","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","pausar o supino inclinado com halteres sem compensar","B2","A/B","ADDED_IN_V099B2"
"Supino inclinado com halteres em tempo lento","supino_inclinado_com_halteres_em_tempo_lento","musculacao","peito","Halteres e banco inclinado","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","aumentar tempo sob tensao no supino inclinado com halteres","B2","A/B","ADDED_IN_V099B2"
"Remada curvada com barra","remada_curvada_com_barra","musculacao","costas","Barra","costas medias e dorsais","romboides; trapezio medio; biceps; lombar","ombro; cotovelo; escapula; coluna","treinar remada horizontal com barra","B2","A/B","ADDED_IN_V099B2"
"Remada curvada com barra controlado","remada_curvada_com_barra_controlado","musculacao","costas","Barra","costas medias e dorsais","romboides; trapezio medio; biceps; lombar","ombro; cotovelo; escapula; coluna","controlar remada curvada sem perder lombar neutra","B2","A/B","ADDED_IN_V099B2"
"Remada curvada com barra com pausa","remada_curvada_com_barra_com_pausa","musculacao","costas","Barra","costas medias e dorsais","romboides; trapezio medio; biceps; lombar","ombro; cotovelo; escapula; coluna","pausar a remada curvada com escapulas ativas","B2","A/B","ADDED_IN_V099B2"
"Remada curvada com barra em tempo lento","remada_curvada_com_barra_em_tempo_lento","musculacao","costas","Barra","costas medias e dorsais","romboides; trapezio medio; biceps; lombar","ombro; cotovelo; escapula; coluna","aumentar controlo na remada curvada com barra","B2","A/B","ADDED_IN_V099B2"
"Remada unilateral com halter","remada_unilateral_com_halter","musculacao","costas","Halter e banco","costas medias e dorsais","romboides; biceps; core anti-rotacao","ombro; cotovelo; escapula; coluna","treinar remada unilateral com apoio","B2","A/B","ADDED_IN_V099B2"
