"exercise_name","canonical_id_proposed","category","subcategory","menu_route","equipment","location","primary_muscle","secondary_muscles","joint","goal","priority","reason_to_add","coverage_gap","existing_similar_exercise","duplicate_risk","implementation_decision"
"Supino reto com barra","supino_reto_com_barra","musculacao","peito","Musculacao > Ginasio > peito","Barra e banco","ginasio","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","desenvolver forca no empurrar horizontal com barra","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Supino reto com barra controlado","supino_reto_com_barra_controlado","musculacao","peito","Musculacao > Ginasio > peito","Barra e banco","ginasio","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","controlar a tecnica do supino reto com barra","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Supino reto com barra com pausa","supino_reto_com_barra_com_pausa","musculacao","peito","Musculacao > Ginasio > peito","Barra e banco","ginasio","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","reforcar controlo no fundo do supino reto","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Supino reto com barra em tempo lento","supino_reto_com_barra_em_tempo_lento","musculacao","peito","Musculacao > Ginasio > peito","Barra e banco","ginasio","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","aumentar tempo sob tensao no supino reto","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Supino declinado com barra controlado","supino_declinado_com_barra_controlado","musculacao","peito","Musculacao > Ginasio > peito","Barra e banco declinado","ginasio","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","controlar o supino declinado com barra sem perder escapulas","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Supino inclinado com barra controlado","supino_inclinado_com_barra_controlado","musculacao","peito","Musculacao > Ginasio > peito","Barra e banco inclinado","ginasio","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","controlar o supino inclinado sem perder escapulas","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Supino inclinado com barra com pausa","supino_inclinado_com_barra_com_pausa","musculacao","peito","Musculacao > Ginasio > peito","Barra e banco inclinado","ginasio","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","reforcar estabilidade no fundo do supino inclinado","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Supino inclinado com barra em tempo lento","supino_inclinado_com_barra_em_tempo_lento","musculacao","peito","Musculacao > Ginasio > peito","Barra e banco inclinado","ginasio","peitoral maior","triceps; deltoide anterior; serratil anterior","ombro; cotovelo; escapula","aumentar controlo e tempo sob tensao no supino inclinado","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Puxada alta a frente","puxada_alta_a_frente","musculacao","costas","Musculacao > Ginasio > costas","Lat pulldown","ginasio","grande dorsal","biceps; redondo maior; trapezio medio e inferior","ombro; cotovelo; escapula","treinar puxada vertical para dorsais","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Puxada alta a frente controlado","puxada_alta_a_frente_controlado","musculacao","costas","Musculacao > Ginasio > costas","Lat pulldown","ginasio","grande dorsal","biceps; redondo maior; trapezio medio e inferior","ombro; cotovelo; escapula","controlar a puxada vertical sem embalar","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
"Puxada alta a frente com pausa","puxada_alta_a_frente_com_pausa","musculacao","costas","Musculacao > Ginasio > costas","Lat pulldown","ginasio","grande dorsal","biceps; redondo maior; trapezio medio e inferior","ombro; cotovelo; escapula","melhorar controlo escapular na puxada alta","B1","GOOD_V1 B1 strength coverage","maquinas, cabos e bases prioritarias de musculacao","sem duplicado exato apos substituicao de supinos ja existentes","baixo","IMPLEMENTED_IN_V099B1"
