name,catalog_entry_key,primary_type
"Press militar com barra em pé","press_militar_com_barra_em_pe__ombros","musculacao"
"Press militar com halteres","press_militar_com_halteres__ombros","musculacao"
"Press militar com barra","press_militar_com_barra__ombros","musculacao"
"Arnold press","arnold_press__ombros","musculacao"
"Elevação lateral","elevacao_lateral__ombros","musculacao"
"Elevação frontal","elevacao_frontal__ombros","musculacao"
"Elevação posterior","elevacao_posterior__ombros","musculacao"
"Reverse fly","reverse_fly__ombros","musculacao"
"Mobilidade de ombro com elástico","mobilidade_de_ombro_com_elastico__ombros","musculacao"
"Rotação externa","rotacao_externa__ombros","musculacao"
"Rotação externa com elástico","rotacao_externa_com_elastico__ombros","musculacao"
"Rotação interna","rotacao_interna__ombros","musculacao"
"Rotação interna com elástico","rotacao_interna_com_elastico__ombros","musculacao"
"Elevação no plano da omoplata","elevacao_no_plano_da_omoplata__ombros","musculacao"
"Supino com barra","supino_com_barra__peito","musculacao"
"Supino com halteres","supino_com_halteres__peito","musculacao"
"Supino inclinado com halteres","supino_inclinado_com_halteres__peito","musculacao"
"Supino inclinado com barra","supino_inclinado_com_barra__peito","musculacao"
"Supino declinado com halteres","supino_declinado_com_halteres__peito","musculacao"
"Supino declinado com barra","supino_declinado_com_barra__peito","musculacao"
"Supino declinado na máquina","supino_declinado_na_maquina__peito","musculacao"
"Aberturas com halteres","aberturas_com_halteres__peito","musculacao"
"Aberturas inclinadas com halteres","aberturas_inclinadas_com_halteres__peito","musculacao"
"Aberturas inclinadas no cabo","aberturas_inclinadas_no_cabo__peito","musculacao"
"Aberturas inclinadas com elástico","aberturas_inclinadas_com_elastico__peito","musculacao"
"Squeeze press","squeeze_press__peito","musculacao"
"Chest press","chest_press__peito","musculacao"
"Dips para peito em paralelas","dips_para_peito_em_paralelas__peito","musculacao"
"Dips assistidos para peito na máquina","dips_assistidos_para_peito_na_maquina__peito","musculacao"
"Crossover no cabo","crossover_no_cabo__peito","musculacao"
"Pullover com halter","pullover_com_halter__peito","musculacao"
"Puxada alta","puxada_alta__costas","musculacao"
"Puxada alta pega aberta","puxada_alta_pega_aberta__costas","musculacao"
"Puxada alta pega neutra","puxada_alta_pega_neutra__costas","musculacao"
"Puxada alta pega fechada","puxada_alta_pega_fechada__costas","musculacao"
"Remo baixo no cabo","remo_baixo_no_cabo__costas","musculacao"
"Remo sentado","remo_sentado__costas","musculacao"
"Remo unilateral com halter","remo_unilateral_com_halter__costas","musculacao"
"Remo com barra","remo_com_barra__costas","musculacao"
"Remo invertido","remo_invertido__costas","musculacao"
"Remo invertido em mesa resistente","remo_invertido_em_mesa_resistente__costas","musculacao"
"Pull-up","pull_up__costas","musculacao"
"Scapular pull-up","scapular_pull_up__costas","musculacao"
"Dead hang escapular","dead_hang_escapular__costas","musculacao"
"Face pull no cabo","face_pull_no_cabo__costas","musculacao"
"Pullover no cabo","pullover_no_cabo__costas","musculacao"
"Pullover com halter","pullover_com_halter__costas","musculacao"
"Puxada com braços esticados","puxada_com_bracos_esticados__costas","musculacao"
"Remo com elástico","remo_com_elastico__costas","musculacao"
"Hiperextensão lombar","hiperextensao_lombar__lombar","musculacao"
"Hiperextensão no banco romano","hiperextensao_no_banco_romano__lombar","musculacao"
"Good morning com barra","good_morning_com_barra__lombar","musculacao"
"Good morning leve isométrico","good_morning_leve_isometrico__lombar","musculacao"
"Extensão lombar com elástico","extensao_lombar_com_elastico__lombar","musculacao"
"Curl inverso","curl_inverso__biceps","musculacao"
"Curl inverso com halteres","curl_inverso_com_halteres__biceps","musculacao"
"Extensão de tríceps no cabo","extensao_de_triceps_no_cabo__triceps","musculacao"
"Extensão acima da cabeça com halter","extensao_acima_da_cabeca_com_halter__triceps","musculacao"
"Tríceps testa com barra EZ","triceps_testa_com_barra_ez__triceps","musculacao"
"Tríceps testa com halteres","triceps_testa_com_halteres__triceps","musculacao"
"Extensão de tríceps deitado com halteres","extensao_de_triceps_deitado_com_halteres__triceps","musculacao"
"Supino fechado","supino_fechado__triceps","musculacao"
"Press fechado com halteres","press_fechado_com_halteres__triceps","musculacao"
"Tate press","tate_press__triceps","musculacao"
"Fundos entre apoios","fundos_entre_apoios__triceps","musculacao"
"Kickback de tríceps","kickback_de_triceps__triceps","musculacao"
"Kickback no cabo","kickback_no_cabo__triceps","musculacao"
"Extensão unilateral de tríceps","extensao_unilateral_de_triceps__triceps","musculacao"
"Extensão francesa com halter","extensao_francesa_com_halter__triceps","musculacao"
"Extensão francesa com barra EZ","extensao_francesa_com_barra_ez__triceps","musculacao"
"Extensão francesa no cabo","extensao_francesa_no_cabo__triceps","musculacao"
"Dips para tríceps","dips_para_triceps__triceps","musculacao"
"Tríceps no cabo com corda","triceps_no_cabo_com_corda__triceps","musculacao"
"Tríceps com elástico","triceps_com_elastico__triceps","musculacao"
"Prancha","prancha__core","musculacao"
"Prancha lateral","prancha_lateral__core","musculacao"
"Crunch","crunch__core","musculacao"
"Reverse crunch","reverse_crunch__core","musculacao"
"Elevação de pernas","elevacao_de_pernas__core","musculacao"
"Elevação de joelhos suspenso","elevacao_de_joelhos_suspenso__core","musculacao"
"Dead bug","dead_bug__core","musculacao"
"Hollow hold","hollow_hold__core","musculacao"
"Mountain climbers","mountain_climbers__core","musculacao"
"Pallof press no cabo","pallof_press_no_cabo__core","musculacao"
"Pallof press com elástico","pallof_press_com_elastico__core","musculacao"
"Russian twist","russian_twist__core","musculacao"
"Bicycle crunch","bicycle_crunch__core","musculacao"
"Bird dog","bird_dog__core","musculacao"
"Side bend","side_bend__core","musculacao"
"Vacuum abdominal","vacuum_abdominal__core","musculacao"
"Flutter kicks","flutter_kicks__core","musculacao"
"Toe touches","toe_touches__core","musculacao"
"Superman","superman__core","musculacao"
"Lenhador no cabo","lenhador_no_cabo__core","musculacao"
"Prancha com toque no ombro","prancha_com_toque_no_ombro__core","musculacao"
"Agachamento goblet","agachamento_goblet__pernas","musculacao"
"Agachamento com halteres ao lado","agachamento_com_halteres_ao_lado__pernas","musculacao"
"Agachamento com barra","agachamento_com_barra__pernas","musculacao"
"Agachamento com mochila","agachamento_com_mochila__pernas","musculacao"
"Agachamento com garrafão","agachamento_com_garrafao__pernas","musculacao"
"Agachamento na máquina Smith","agachamento_na_maquina_smith__pernas","musculacao"
"Agachamento búlgaro","agachamento_bulgaro__pernas","musculacao"
"Agachamento búlgaro com apoio","agachamento_bulgaro_com_apoio__pernas","musculacao"
"Extensão de perna","extensao_de_perna__pernas","musculacao"
"Leg press","leg_press__pernas","musculacao"
"Step-up","step_up__pernas","musculacao"
"Lunges com halteres","lunges_com_halteres__pernas","musculacao"
"Lunges com mochila","lunges_com_mochila__pernas","musculacao"
"Peso morto tradicional","peso_morto_tradicional__pernas","musculacao"
