"combination","training_type","location","equipment","focus","current_notice","decision","reason","proposed_correction","applied_correction"
"strength>place_home_no_equipment>bodyweight>full_body","strength","place_home_no_equipment","bodyweight","full_body","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>floor>full_body","strength","place_home_no_equipment","floor","full_body","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>wall>full_body","strength","place_home_no_equipment","wall","full_body","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>neck>neck_complete","strength","place_home_no_equipment","bodyweight","upper / neck / neck_complete","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>neck>anterior_neck","strength","place_home_no_equipment","bodyweight","upper / neck / anterior_neck","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>neck>posterior_neck","strength","place_home_no_equipment","bodyweight","upper / neck / posterior_neck","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>neck>lateral_neck","strength","place_home_no_equipment","bodyweight","upper / neck / lateral_neck","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>neck>cervical_stabilizers","strength","place_home_no_equipment","bodyweight","upper / neck / cervical_stabilizers","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula","strength","place_home_no_equipment","bodyweight","upper / traps_scapula","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula>traps_complete","strength","place_home_no_equipment","bodyweight","upper / traps_scapula / traps_complete","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula>upper_traps","strength","place_home_no_equipment","bodyweight","upper / traps_scapula / upper_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula>mid_traps","strength","place_home_no_equipment","bodyweight","upper / traps_scapula / mid_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula>lower_traps","strength","place_home_no_equipment","bodyweight","upper / traps_scapula / lower_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula>scapular_stability","strength","place_home_no_equipment","bodyweight","upper / traps_scapula / scapular_stability","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>chest>chest_complete","strength","place_home_no_equipment","bodyweight","upper / chest / chest_complete","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>back>back_complete","strength","place_home_no_equipment","bodyweight","upper / back / back_complete","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>back>back_upper","strength","place_home_no_equipment","bodyweight","upper / back / back_upper","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>back>back_upper>upper_traps","strength","place_home_no_equipment","bodyweight","upper / back / back_upper / upper_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>back>back_upper>mid_traps","strength","place_home_no_equipment","bodyweight","upper / back / back_upper / mid_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>back>back_upper>lower_traps","strength","place_home_no_equipment","bodyweight","upper / back / back_upper / lower_traps","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>back>back_upper>rhomboids","strength","place_home_no_equipment","bodyweight","upper / back / back_upper / rhomboids","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>back>back_upper>posterior_deltoid","strength","place_home_no_equipment","bodyweight","upper / back / back_upper / posterior_deltoid","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>back>back_upper>scapular_stabilizers","strength","place_home_no_equipment","bodyweight","upper / back / back_upper / scapular_stabilizers","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
"strength>place_home_no_equipment>bodyweight>upper>back>back_mid","strength","place_home_no_equipment","bodyweight","upper / back / back_mid","Os filtros atuais estão demasiado restritos. Limpa filtros ou usa uma categoria geral relacionada.","KEEP_WITH_NOTICE","Caminho válido sem conteúdo específico, coberto por aviso explícito.","Manter visível apenas com aviso específico aprovado.","Aviso específico e decisão explícita registados em v0.9.7."
